id;name;epc;description;description_2;weight;thumbnail;thumbnail_content_type;detail_image;detail_image_content_type
1;Supervisor convergence;customer loyalty azure;Up-sized Bedfordshire;knowledge user extend Lao People's Democratic Republic;18473;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;Tuna;deposit silver;supply-chains hard drive;haptic integrated;36041;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;Bedfordshire;e-tailers generate Sausages;Credit Card Account;Towels;14734;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;Small Kids;firewall purple;back up Stream;Shores;86489;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;District Gorgeous Spain;Garden;virtual Wall;Multi-channelled Quality Personal Loan Account;17388;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;array calculate;Lead;Salad Keyboard;Generic Fresh Soap Refined Fresh Chair New York;56570;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;Path ivory;Paradigm synthesizing;repurpose;Pizza;48093;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;withdrawal primary;Configurable;directional content;Soft budgetary management expedite;36424;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Computers yellow;Supervisor Home Loan Account;web-enabled bypass compress;payment;70217;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;driver Grass-roots conglomeration;Gibraltar magenta system;Inlet strategic;incentivize Savings Account;7367;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
