id;last_location_update;zone_enter_instant;description;x;y;z
1;2020-10-14T05:54:14;2020-10-14T00:36:57;Borders Wisconsin;35370;55012;10616
2;2020-10-14T19:00:19;2020-10-14T05:42:02;framework Developer;63431;10294;21674
3;2020-10-14T14:50:06;2020-10-14T08:08:00;back up AGP;2494;96464;4861
4;2020-10-13T21:24:06;2020-10-14T03:46:07;JBOD extend Administrator;12690;58516;26243
5;2020-10-13T21:21:07;2020-10-14T15:01:45;connecting Fords Checking Account;32374;2693;11366
6;2020-10-13T23:37:37;2020-10-14T18:02:32;Data;55896;77288;71997
7;2020-10-14T04:54:58;2020-10-14T11:46:11;Directives transmit;23633;80669;65868
8;2020-10-13T20:37:20;2020-10-14T13:14:41;Health;37488;77344;95328
9;2020-10-14T16:31:16;2020-10-14T12:18:19;South Dakota indexing;39486;94146;67927
10;2020-10-14T04:43:21;2020-10-14T12:19:42;compress bandwidth;27222;999;33898
