id;name;description;max_items;x_1;y_1;z_1;x_2;y_2;z_2;association_zone
1;connecting;interactive green;90666;49477;86915;57135;79146;92281;32434;true
2;Yuan Renminbi Grocery;disintermediate;97700;2879;70942;92838;5626;49127;5264;false
3;Reactive mint green;Technician;13938;38014;25946;31423;55861;33014;68861;true
4;orange architectures;haptic IB vortals;26293;92458;20013;29748;54167;23504;26435;true
5;orange systematic capability;Parkway;66577;58308;69895;2168;66940;95120;70297;false
6;IB standardization;Checking Account Executive;9769;73003;95590;99471;8380;38329;75942;false
7;Tuna;Table;82028;8860;95718;30670;41850;89892;83674;true
8;vertical firewall;backing up;91574;16701;69641;75957;61476;85035;28721;true
9;program IB;Berkshire;83736;8415;9816;23881;71751;79110;13444;true
10;dot-com rich Wooden;Bike Lek Tasty Cotton Hat;25404;56917;71409;15762;52509;37709;50079;true
